mpio,dpto,lon,lat,salida,llegada,total
La Peña,Cundinamarca,-74.393,5.2,1346,311,1657
La Pintada,Antioquia,-75.608,5.744,908,590,1498
La Plata,Huila,-75.891,2.39,6100,5217,11317
La Playa,Norte de Santander,-73.239,8.213,4738,1643,6381
La Primavera,Vichada,-70.41,5.486,2343,1423,3766
La Salina,Casanare,-72.334,6.128,292,82,374
La Sierra,Cauca,-76.763,2.179,3402,666,4068
La Tebaida,Quindío,-75.786,4.454,450,4348,4798
La Tola,Nariño,-78.19,2.398,4585,2049,6634
La Unión,Antioquia,-75.361,5.974,11305,13559,24864
La Unión,Nariño,-77.131,1.6,11305,13559,24864
La Unión,Sucre,-75.276,8.854,11305,13559,24864
La Unión,Valle del Cauca,-76.1,4.534,11305,13559,24864
La Uvita,Boyacá,-72.56,6.316,99,7,106
La Vega,Cauca,-76.779,2.001,10722,949,11671
La Vega,Cundinamarca,-74.331,4.993,10722,949,11671
La Victoria,Boyacá,-74.234,5.524,870,524,1394
La Victoria,Valle del Cauca,-76.037,4.524,870,524,1394
La Virginia,Risaralda,-75.884,4.899,1266,3751,5017
Labateca,Norte de Santander,-72.496,7.298,361,94,455
Labranzagrande,Boyacá,-72.578,5.563,1423,170,1593
Landázuri,Santander,-73.811,6.219,4416,2773,7189
Lebríja,Santander,-73.22,7.113,4737,6013,10750
Leguízamo,Putumayo,-74.782,-0.192,13344,6516,19860
Leiva,Nariño,-77.306,1.935,6575,1856,8431
Lejanías,Meta,-74.024,3.526,8274,3309,11583
Lenguazaque,Cundinamarca,-73.711,5.306,16,10,26
Leticia,Amazonas,-69.941,-4.2,982,1944,2926
Liborina,Antioquia,-75.813,6.677,5097,2897,7994
Linares,Nariño,-77.522,1.351,3021,2420,5441
Lloró,Chocó,-76.545,5.498,7588,3544,11132
Lorica,Córdoba,-75.816,9.241,5064,4365,9429
Los Andes,Nariño,-77.521,1.495,5682,6608,12290
Los Córdobas,Córdoba,-76.355,8.892,3580,4471,8051
Los Palmitos,Sucre,-75.269,9.38,11779,8775,20554
Los Patios,Norte de Santander,-72.506,7.833,1006,3026,4032
Los Santos,Santander,-73.103,6.755,82,53,135
Lourdes,Norte de Santander,-72.833,7.945,695,543,1238
Luruaco,Atlántico,-75.142,10.611,764,846,1610
Málaga,Santander,-72.732,6.703,1145,995,2140
Macanal,Boyacá,-73.32,4.972,166,79,245
Macaravita,Santander,-72.593,6.507,522,39,561
Maceo,Antioquia,-74.787,6.552,2474,1195,3669
Macheta,Cundinamarca,-73.608,5.08,197,41,238
Madrid,Cundinamarca,-74.266,4.736,93,1477,1570
Magüi,Nariño,-78.181,1.765,8623,2873,11496
Magangué,Bolívar,-74.77,9.269,16631,52191,68822
Mahates,Bolívar,-75.191,10.233,6011,4111,10122
Maicao,La Guajira,-72.242,11.378,12500,14577,27077
Majagual,Sucre,-74.628,8.541,6923,3108,10031
Malambo,Atlántico,-74.774,10.856,1110,13558,14668
Mallama,Nariño,-77.864,1.141,1714,1253,2967
Maní,Casanare,-72.281,4.817,4268,3257,7525
Manatí,Atlántico,-74.957,10.449,184,329,513
Manaure,Cesar,-73.028,10.391,4158,5611,9769
Manaure,La Guajira,-72.44,11.774,4158,5611,9769
Manizales,Caldas,-75.491,5.058,3464,19371,22835
Manta,Cundinamarca,-73.541,5.009,132,38,170
Manzanares,Caldas,-75.153,5.256,2783,3233,6016
Mapiripán,Meta,-72.136,2.896,21890,5006,26896
María La Baja,Bolívar,-75.301,9.983,30807,17376,48183
Margarita,Bolívar,-74.281,9.156,741,280,1021
Marinilla,Antioquia,-75.339,6.172,3757,9482,13239
Maripí,Boyacá,-74.004,5.55,498,75,573
Mariquita,Tolima,-74.889,5.2,2088,2270,4358
Marmato,Caldas,-75.6,5.474,512,125,637
Marquetalia,Caldas,-75.053,5.298,6597,5148,11745
Marsella,Risaralda,-75.739,4.936,504,1148,1652
Marulanda,Caldas,-75.259,5.284,1729,481,2210
Matanza,Santander,-73.016,7.323,2178,612,2790
Medellín,Antioquia,-75.582,6.247,117601,416695,534296
Medina,Cundinamarca,-73.349,4.507,5380,2679,8059
Medio Atrato,Chocó,-76.782,5.995,10217,1756,11973
Medio Baudó,Chocó,-76.95,5.194,6814,2327,9141
Medio San Juan,Chocó,-76.693,5.1,3757,1508,5265
Melgar,Tolima,-74.63,4.208,395,2269,2664
Mercaderes,Cauca,-77.166,1.776,7399,4958,12357
Mesetas,Meta,-74.044,3.384,12488,1787,14275
Milán,Caquetá,-75.507,1.29,13933,1840,15773
Miraflores,Boyacá,-73.146,5.197,12013,1145,13158
Miraflores,Guaviare,-71.951,1.338,12013,1145,13158
Miranda,Cauca,-76.229,3.253,5572,4914,10486
Mistrató,Risaralda,-75.883,5.297,5388,1646,7034
Mitú,Vaupés,-70.235,1.251,7042,4633,11675
Moñitos,Córdoba,-76.129,9.245,3726,3012,6738
Mocoa,Putumayo,-76.65,1.152,8890,32256,41146
Mogotes,Santander,-72.97,6.475,590,251,841
Molagavita,Santander,-72.809,6.674,461,10,471
Momil,Córdoba,-75.678,9.241,678,809,1487
Mompós,Bolívar,-74.428,9.244,3366,1455,4821
Monguí,Boyacá,-72.849,5.723,21,0,21
Mongua,Boyacá,-72.798,5.754,226,131,357
Moniquirá,Boyacá,-73.573,5.876,257,314,571
Montebello,Antioquia,-75.524,5.946,4308,1481,5789
Montecristo,Bolívar,-74.472,8.297,28379,7201,35580
Montelíbano,Córdoba,-75.417,7.974,41739,31747,73486
Montenegro,Quindío,-75.752,4.563,805,4992,5797
Montería,Córdoba,-75.876,8.745,36310,114417,150727
Monterrey,Casanare,-72.895,4.877,2088,1604,3692
Morales,Bolívar,-73.868,8.276,20361,9637,29998
Morales,Cauca,-76.629,2.755,20361,9637,29998
Morelia,Caquetá,-75.725,1.488,2957,1950,4907
Morroa,Sucre,-75.306,9.331,7835,3641,11476
Mosquera,Cundinamarca,-74.232,4.711,4490,3966,8456
Mosquera,Nariño,-78.453,2.507,4490,3966,8456
Motavita,Boyacá,-73.368,5.578,9,6,15
Murillo,Tolima,-75.171,4.875,2158,385,2543
Murindó,Antioquia,-76.817,6.978,3319,4021,7340
Mutatá,Antioquia,-76.436,7.243,35653,20454,56107
Mutiscua,Norte de Santander,-72.747,7.3,65,21,86
Muzo,Boyacá,-74.103,5.532,1042,284,1326
Nátaga,Huila,-75.809,2.545,1408,268,1676
Nóvita,Chocó,-76.607,4.956,5274,777,6051
Nariño,Antioquia,-75.176,5.611,17992,6588,24580
Nariño,Cundinamarca,-74.825,4.4,17992,6588,24580
Nariño,Nariño,-77.358,1.289,17992,6588,24580
Natagaima,Tolima,-75.093,3.625,10825,2356,13181
Nechí,Antioquia,-74.776,8.094,14866,9747,24613
Necoclí,Antioquia,-76.785,8.426,44591,27327,71918
Neira,Caldas,-75.52,5.167,1326,681,2007
Neiva,Huila,-75.278,2.936,13796,64539,78335
Nemocón,Cundinamarca,-73.88,5.067,15,44,59
Nilo,Cundinamarca,-74.62,4.306,85,219,304
Nimaima,Cundinamarca,-74.386,5.126,355,137,492
Nobsa,Boyacá,-72.94,5.771,40,145,185
Nocaima,Cundinamarca,-74.378,5.069,164,209,373
Norcasia,Caldas,-74.89,5.575,4157,1285,5442
Norosí,Bolívar,-74.038,8.526,2852,3975,6827
Nueva Granada,Magdalena,-74.392,9.802,2037,1245,3282
Nuevo Colón,Boyacá,-73.457,5.355,33,7,40
Nunchía,Casanare,-72.195,5.637,1539,585,2124
Nuquí,Chocó,-77.263,5.712,3082,1442,4524
Obando,Valle del Cauca,-75.975,4.576,583,734,1317
Ocaña,Norte de Santander,-73.356,8.247,10731,35957,46688
Ocamonte,Santander,-73.123,6.34,69,17,86
Oiba,Santander,-73.3,6.265,156,237,393
Oicatá,Boyacá,-73.308,5.595,6,0,6
Olaya,Antioquia,-75.812,6.628,376,216,592
Olaya Herrera,Nariño,-78.326,2.348,16216,6847,23063
Onzaga,Santander,-72.817,6.344,327,57,384
Oporapa,Huila,-75.995,2.025,1544,1171,2715
Orito,Putumayo,-76.873,0.664,25274,9907,35181
Orocué,Casanare,-71.339,4.79,1305,867,2172
Ortega,Tolima,-75.223,3.935,11562,1106,12668
Ospina,Nariño,-77.566,1.058,45,40,85
Otanche,Boyacá,-74.181,5.658,1552,500,2052
Ovejas,Sucre,-75.229,9.527,42817,16221,59038
Pácora,Caldas,-75.46,5.527,1491,342,1833
Páez,Boyacá,-73.054,5.095,1658,1026,2684
Páramo,Santander,-73.17,6.417,22,0,22
Pachavita,Boyacá,-73.397,5.14,15,6,21
Pacho,Cundinamarca,-74.156,5.137,1191,1693,2884
Padilla,Cauca,-76.313,3.221,325,199,524
Paez,Cauca,-75.972,2.641,6722,2313,9035
Paicol,Huila,-75.773,2.45,149,302,451
Pailitas,Cesar,-73.626,8.956,15118,9421,24539
Paime,Cundinamarca,-74.152,5.37,1007,151,1158
Paipa,Boyacá,-73.118,5.78,61,353,414
Pajarito,Boyacá,-72.703,5.294,838,553,1391
Palermo,Huila,-75.434,2.888,1857,2665,4522
Palestina,Caldas,-75.622,5.021,1826,2377,4203
Palestina,Huila,-76.133,1.723,1826,2377,4203
Palmar,Santander,-73.291,6.538,35,11,46
Palmar de Varela,Atlántico,-74.755,10.739,141,2464,2605
Palmas del Socorro,Santander,-73.288,6.406,9,31,40
Palmira,Valle del Cauca,-76.299,3.532,5499,12409,17908
Palmito,Sucre,-75.541,9.333,2330,1109,3439
Palocabildo,Tolima,-75.022,5.121,2487,533,3020
Pamplona,Norte de Santander,-72.648,7.373,532,1339,1871
Pamplonita,Norte de Santander,-72.639,7.437,76,57,133
Pandi,Cundinamarca,-74.487,4.19,1509,287,1796
Panqueba,Boyacá,-72.459,6.443,71,2,73
Paratebueno,Cundinamarca,-73.213,4.375,1329,1051,2380
Pasca,Cundinamarca,-74.305,4.31,948,255,1203
Pasto,Nariño,-77.279,1.212,12305,71840,84145
Patía,Cauca,-76.981,2.116,13356,3838,17194
Pauna,Boyacá,-73.978,5.656,647,245,892
Paya,Boyacá,-72.424,5.626,596,59,655
Paz de Ariporo,Casanare,-71.891,5.88,4045,3907,7952
Paz de Río,Boyacá,-72.749,5.988,71,26,97
Peñol,Antioquia,-75.243,6.219,5450,3513,8963
Pedraza,Magdalena,-74.915,10.188,3794,946,4740
Pelaya,Cesar,-73.666,8.689,11236,6490,17726
Pensilvania,Caldas,-75.16,5.383,18683,7587,26270
Peque,Antioquia,-75.91,7.021,13505,8842,22347
Pereira,Risaralda,-75.717,4.806,4377,54734,59111
Pesca,Boyacá,-73.051,5.559,128,65,193
Piamonte,Cauca,-76.326,1.117,7865,1811,9676
Piedecuesta,Santander,-73.055,6.997,1396,11959,13355
Piedras,Tolima,-74.878,4.544,132,120,252
Piendamó,Cauca,-76.529,2.642,2234,3555,5789
Pijao,Quindío,-75.703,4.335,1741,1658,3399
Pijiño del Carmen,Magdalena,-74.458,9.332,1434,587,2021
Pinchote,Santander,-73.173,6.532,48,12,60
Pinillos,Bolívar,-74.462,8.915,8817,4516,13333
Piojó,Atlántico,-75.107,10.749,445,170,615
Pisba,Boyacá,-72.486,5.722,464,39,503
Pital,Huila,-75.804,2.267,721,1252,1973
Pitalito,Huila,-76.049,1.853,8401,30650,39051
Pivijay,Magdalena,-74.614,10.461,40241,11688,51929
Planadas,Tolima,-75.644,3.198,21304,3681,24985
Planeta Rica,Córdoba,-75.583,8.408,8937,12388,21325
Plato,Magdalena,-74.785,9.797,22639,17791,40430
Policarpa,Nariño,-77.459,1.628,19469,5863,25332
Polonuevo,Atlántico,-74.854,10.778,149,368,517
Ponedera,Atlántico,-74.754,10.642,196,1630,1826
Popayán,Cauca,-76.574,2.483,6301,105546,111847
Pore,Casanare,-71.993,5.728,2388,803,3191
Potosí,Nariño,-77.573,0.806,438,669,1107
Pradera,Valle del Cauca,-76.242,3.42,5973,5466,11439
Prado,Tolima,-74.927,3.751,6505,1717,8222
Providencia,Nariño,-77.597,1.238,672,1323,1995
Providencia,San Andrés,-81.371,13.37,672,1323,1995
Pueblo Bello,Cesar,-73.589,10.415,12281,6243,18524
Pueblo Nuevo,Córdoba,-75.508,8.504,5316,3968,9284
Pueblo Rico,Risaralda,-76.031,5.222,11085,2827,13912
Pueblorrico,Antioquia,-75.841,5.792,1353,320,1673
Puebloviejo,Magdalena,-74.282,10.995,7596,3569,11165
Puente Nacional,Santander,-73.678,5.878,311,183,494
Puerres,Nariño,-77.504,0.885,514,719,1233
Puerto Asís,Putumayo,-76.497,0.505,40730,28189,68919
Puerto Berrío,Antioquia,-74.41,6.487,8156,3302,11458
Puerto Boyacá,Boyacá,-74.588,5.978,5096,3274,8370
Puerto Caicedo,Putumayo,-76.605,0.685,13565,3915,17480
Puerto Carreño,Vichada,-67.487,6.187,2348,3873,6221
Puerto Colombia,Atlántico,-74.852,11.023,149,1878,2027
Puerto Concordia,Meta,-72.76,2.623,9661,3560,13221
Puerto Escondido,Córdoba,-76.26,9.005,2894,2669,5563
Puerto Gaitán,Meta,-72.083,4.314,7176,2472,9648
Puerto Guzmán,Putumayo,-76.409,0.963,27218,3246,30464
Puerto López,Meta,-72.957,4.093,4363,4693,9056
Puerto Libertador,Córdoba,-75.672,7.889,43171,32653,75824
Puerto Lleras,Meta,-73.374,3.27,9920,1791,11711
Puerto Nare,Antioquia,-74.583,6.186,2320,2421,4741
Puerto Nariño,Amazonas,-70.365,-3.78,58,10,68
Puerto Parra,Santander,-74.056,6.651,2578,2018,4596
Puerto Rico,Caquetá,-75.157,1.909,43625,11689,55314
Puerto Rico,Meta,-73.207,2.94,43625,11689,55314
Puerto Rondón,Arauca,-71.098,6.284,3292,1746,5038
Puerto Salgar,Cundinamarca,-74.653,5.465,580,1747,2327
Puerto Santander,Norte de Santander,-72.41,8.361,1769,1458,3227
Puerto Tejada,Cauca,-76.417,3.233,2182,1219,3401
Puerto Triunfo,Antioquia,-74.641,5.871,1883,4898,6781
Puerto Wilches,Santander,-73.899,7.349,8948,5539,14487
Pulí,Cundinamarca,-74.714,4.682,1566,203,1769
Pupiales,Nariño,-77.634,0.867,133,445,578
Purísima,Córdoba,-75.725,9.239,408,775,1183
Puracé,Cauca,-76.496,2.343,1901,110,2011
Purificación,Tolima,-74.929,3.859,2493,1027,3520
Quípama,Boyacá,-74.178,5.518,373,117,490
Quebradanegra,Cundinamarca,-74.48,5.118,859,347,1206
Quetame,Cundinamarca,-73.863,4.33,178,49,227
Quibdó,Chocó,-76.626,5.692,42557,79835,122392
Quimbaya,Quindío,-75.765,4.624,574,3390,3964
Quinchía,Risaralda,-75.73,5.34,11373,2972,14345
Quipile,Cundinamarca,-74.534,4.745,1768,228,1996
Ráquira,Boyacá,-73.632,5.539,5,0,5
Río Iro,Chocó,-76.473,5.186,2675,1038,3713
Río Quito,Chocó,-76.741,5.484,3877,1511,5388
Río Viejo,Bolívar,-73.84,8.588,12015,3503,15518
Río de Oro,Cesar,-73.386,8.292,2058,1613,3671
Ragonvalia,Norte de Santander,-72.477,7.578,231,112,343
Ramiriquí,Boyacá,-73.335,5.4,132,108,240
Recetor,Casanare,-72.761,5.229,2157,917,3074
Regidor,Bolívar,-73.822,8.666,3600,2328,5928
Remedios,Antioquia,-74.696,7.026,10649,3820,14469
Remolino,Magdalena,-74.716,10.702,15427,4848,20275
Repelón,Atlántico,-75.125,10.493,1117,532,1649
Restrepo,Meta,-73.565,4.261,2368,4647,7015
Restrepo,Valle del Cauca,-76.523,3.821,2368,4647,7015
Retiro,Antioquia,-75.501,6.063,576,1794,2370
Ricaurte,Cundinamarca,-74.785,4.294,6263,5194,11457
Ricaurte,Nariño,-77.995,1.213,6263,5194,11457
Rioblanco,Tolima,-75.644,3.53,26551,4089,30640
Riofrío,Valle del Cauca,-76.288,4.157,3482,2821,6303
Riohacha,La Guajira,-72.911,11.529,38944,65043,103987
Rionegro,Antioquia,-75.377,6.147,8877,16093,24970
Rionegro,Santander,-73.15,7.265,8877,16093,24970
Riosucio,Caldas,-75.702,5.424,86082,20902,106984
Riosucio,Chocó,-77.113,7.437,86082,20902,106984
Risaralda,Caldas,-75.767,5.165,723,745,1468
Rivera,Huila,-75.259,2.778,1388,2122,3510
Roberto Payán,Nariño,-78.246,1.698,11301,2477,13778
Roldanillo,Valle del Cauca,-76.152,4.414,2690,1970,4660
Roncesvalles,Tolima,-75.606,4.012,3443,197,3640
Rondón,Boyacá,-73.208,5.357,65,36,101
Rosas,Cauca,-76.74,2.261,3107,1524,4631
Rovira,Tolima,-75.241,4.239,12308,2896,15204
Sácama,Casanare,-72.25,6.097,1064,780,1844
Sáchica,Boyacá,-73.543,5.584,11,11,22
Sabana de Torres,Santander,-73.499,7.392,8233,3544,11777
Sabanagrande,Atlántico,-74.759,10.791,472,4376,4848
Sabanalarga,Antioquia,-75.817,6.85,7016,7900,14916
Sabanalarga,Atlántico,-74.921,10.633,7016,7900,14916
Sabanalarga,Casanare,-73.039,4.855,7016,7900,14916
Sabanas de San Angel,Magdalena,-74.214,10.033,16532,2481,19013
Sabaneta,Antioquia,-75.616,6.151,308,1711,2019
Saboyá,Boyacá,-73.765,5.698,50,18,68
Sahagún,Córdoba,-75.446,8.943,2130,5436,7566
Saladoblanco,Huila,-76.044,1.992,1610,1791,3401
Salamina,Caldas,-75.487,5.403,9403,3512,12915
Salamina,Magdalena,-74.794,10.491,9403,3512,12915
Salazar,Norte de Santander,-72.813,7.774,1251,399,1650
Saldaña,Tolima,-75.016,3.927,1786,380,2166
Salento,Quindío,-75.571,4.637,593,714,1307
Salgar,Antioquia,-75.982,5.966,8674,2951,11625
Samacá,Boyacá,-73.486,5.492,56,347,403
Samaná,Caldas,-74.992,5.413,40218,19778,59996
Samaniego,Nariño,-77.594,1.335,14414,16401,30815
Sampués,Sucre,-75.38,9.183,1737,4778,6515
San Agustín,Huila,-76.27,1.881,5136,2991,8127
San Alberto,Cesar,-73.394,7.761,7948,2411,10359
San Andrés,San Andrés,-81.696,12.583,902,233,1135
San Andrés,Santander,-72.849,6.812,902,233,1135
San Andrés Sotavento,Córdoba,-75.509,9.145,3756,3228,6984
San Andrés de Cuerquía,Antioquia,-75.675,6.917,3382,1648,5030
San Andres de Tumaco,Nariño,-78.764,1.807,137343,106392,243735
San Antero,Córdoba,-75.761,9.376,1434,854,2288
San Antonio,Tolima,-75.481,3.913,11315,959,12274
San Antonio del Tequendama,Cundinamarca,-74.351,4.616,229,230,459
San Benito,Santander,-73.509,6.126,259,27,286
San Benito Abad,Sucre,-75.031,8.93,15136,8028,23164
San Bernardo,Cundinamarca,-74.423,4.179,1398,743,2141
San Bernardo,Nariño,-77.047,1.514,1398,743,2141
San Bernardo del Viento,Córdoba,-75.955,9.352,3691,1764,5455
San Calixto,Norte de Santander,-73.206,8.4,10264,4805,15069
San Carlos,Antioquia,-74.988,6.188,32413,10969,43382
San Carlos,Córdoba,-75.699,8.799,32413,10969,43382
San Carlos de Guaroa,Meta,-73.241,3.711,1112,769,1881
San Cayetano,Cundinamarca,-74.025,5.333,450,257,707
San Cayetano,Norte de Santander,-72.625,7.876,450,257,707
San Cristóbal,Bolívar,-75.066,10.393,709,456,1165
San Diego,Cesar,-73.181,10.333,15282,12169,27451
San Eduardo,Boyacá,-73.077,5.224,193,48,241
San Estanislao,Bolívar,-75.153,10.398,1296,630,1926
San Fernando,Bolívar,-74.324,9.214,624,189,813
San Francisco,Antioquia,-75.103,5.964,15249,6881,22130
San Francisco,Cundinamarca,-74.29,4.973,15249,6881,22130
San Francisco,Putumayo,-76.879,1.174,15249,6881,22130
San Gil,Santander,-73.137,6.556,303,793,1096
San Jacinto,Bolívar,-75.121,9.83,34530,20576,55106
San Jacinto del Cauca,Bolívar,-74.721,8.252,3873,1746,5619
San Jerónimo,Antioquia,-75.727,6.448,790,729,1519
San Joaquín,Santander,-72.868,6.428,169,52,221
San José,Caldas,-75.792,5.082,327,319,646
San José de La Montaña,Antioquia,-75.683,6.85,837,480,1317
San José de Miranda,Santander,-72.734,6.659,177,10,187
San José de Pare,Boyacá,-73.545,6.019,72,153,225
San José de Uré,Córdoba,-75.533,7.787,5502,4736,10238
San José del Fragua,Caquetá,-75.974,1.332,15393,4571,19964
San José del Guaviare,Guaviare,-72.639,2.566,40898,29546,70444
San José del Palmar,Chocó,-76.233,4.898,7871,1160,9031
San Juan Nepomuceno,Bolívar,-75.081,9.953,28149,20355,48504
San Juan de Arama,Meta,-73.876,3.374,6999,3188,10187
San Juan de Betulia,Sucre,-75.244,9.273,1934,1447,3381
San Juan de Río Seco,Cundinamarca,-74.622,4.848,2593,692,3285
San Juan de Urabá,Antioquia,-76.529,8.759,13425,13238,26663
San Juan del Cesar,La Guajira,-73.001,10.77,18605,16007,34612
San Juanito,Meta,-73.677,4.458,685,171,856
San Lorenzo,Nariño,-77.215,1.503,1258,2086,3344
San Luis,Antioquia,-74.994,6.043,27112,12860,39972
San Luis,Tolima,-75.096,4.134,27112,12860,39972
San Luis de Gaceno,Boyacá,-73.168,4.82,672,344,1016
San Luis de Palenque,Casanare,-71.733,5.421,871,278,1149
San Luis de Sincé,Sucre,-75.146,9.244,1585,2919,4504
San Marcos,Sucre,-75.132,8.665,5269,4013,9282
San Martín,Cesar,-73.511,8,7503,9900,17403
San Martín,Meta,-73.696,3.702,7503,9900,17403
San Martín de Loba,Bolívar,-74.039,8.937,10360,3764,14124
San Mateo,Boyacá,-72.555,6.402,493,26,519
San Miguel,Putumayo,-76.912,0.343,19959,4582,24541
San Miguel,Santander,-72.644,6.576,19959,4582,24541
San Miguel de Sema,Boyacá,-73.722,5.518,7,0,7
San Onofre,Sucre,-75.523,9.737,49563,24672,74235
San Pablo,Bolívar,-73.924,7.477,41175,26451,67626
San Pablo,Nariño,-77.014,1.669,41175,26451,67626
San Pablo de Borbur,Boyacá,-74.07,5.651,738,121,859
San Pedro,Antioquia,-75.557,6.46,14388,12191,26579
San Pedro,Sucre,-75.063,9.396,14388,12191,26579
San Pedro,Valle del Cauca,-76.229,3.995,14388,12191,26579
San Pedro de Cartago,Nariño,-77.119,1.552,252,313,565
San Pedro de Urabá,Antioquia,-76.381,8.277,28290,20114,48404
San Pelayo,Córdoba,-75.835,8.958,2940,6746,9686
San Rafael,Antioquia,-75.028,6.294,21227,9129,30356
San Roque,Antioquia,-75.019,6.486,8622,5140,13762
San Sebastián,Cauca,-76.769,1.838,3470,231,3701
San Sebastián de Buenavista,Magdalena,-74.352,9.241,1416,497,1913
San Vicente,Antioquia,-75.333,6.282,8505,3540,12045
San Vicente de Chucurí,Santander,-73.411,6.88,9234,2972,12206
San Vicente del Caguán,Caquetá,-74.767,2.12,43578,8248,51826
San Zenón,Magdalena,-74.499,9.245,461,145,606
Sandoná,Nariño,-77.47,1.286,1321,2852,4173
Santa Ana,Magdalena,-74.568,9.322,1913,1066,2979
Santa Bárbara,Antioquia,-75.567,5.876,12275,6753,19028
Santa Bárbara,Nariño,-77.979,2.45,12275,6753,19028
Santa Bárbara,Santander,-72.907,6.991,12275,6753,19028
Santa Bárbara de Pinto,Magdalena,-74.705,9.432,610,726,1336
Santa Catalina,Bolívar,-75.288,10.605,1008,529,1537
Santa Helena del Opón,Santander,-73.617,6.34,1683,229,1912
Santa Isabel,Tolima,-75.098,4.714,3391,436,3827
Santa Lucía,Atlántico,-74.959,10.323,142,489,631
Santa María,Boyacá,-73.264,4.857,2623,1234,3857
Santa María,Huila,-75.586,2.94,2623,1234,3857
Santa Marta,Magdalena,-74.191,11.229,88869,188417,277286
Santa Rosa,Bolívar,-75.37,10.444,17221,6713,23934
Santa Rosa,Cauca,-76.574,1.702,17221,6713,23934
Santa Rosa de Cabal,Risaralda,-75.62,4.868,856,4526,5382
Santa Rosa de Osos,Antioquia,-75.461,6.643,1953,2069,4022
Santa Rosa de Viterbo,Boyacá,-72.982,5.875,48,115,163
Santa Rosa del Sur,Bolívar,-74.053,7.963,15559,13637,29196
Santa Rosalía,Vichada,-70.86,5.136,803,234,1037
Santa Sofía,Boyacá,-73.603,5.713,13,5,18
Santacruz,Nariño,-77.677,1.222,3993,1424,5417
Santafé de Antioquia,Antioquia,-75.827,6.557,3578,2318,5896
Santana,Boyacá,-73.481,6.057,158,103,261
Santander de Quilichao,Cauca,-76.485,3.016,7579,17332,24911
Santiago,Norte de Santander,-72.717,7.865,2025,1742,3767
Santiago,Putumayo,-77.002,1.146,2025,1742,3767
Santiago de Tolú,Sucre,-75.581,9.525,3066,3063,6129
Santo Domingo,Antioquia,-75.168,6.475,4101,2088,6189
Santo Tomás,Atlántico,-74.754,10.756,180,2038,2218
Santuario,Risaralda,-75.962,5.073,3233,2519,5752
Sapuyes,Nariño,-77.62,1.038,79,26,105
Saravena,Arauca,-71.872,6.954,15659,13172,28831
Sardinata,Norte de Santander,-72.801,8.082,14003,5697,19700
Sasaima,Cundinamarca,-74.433,4.962,664,626,1290
Sativanorte,Boyacá,-72.708,6.131,85,10,95
Sativasur,Boyacá,-72.712,6.093,22,0,22
Segovia,Antioquia,-74.702,7.08,13618,4310,17928
Sesquilé,Cundinamarca,-73.796,5.045,52,39,91
Sevilla,Valle del Cauca,-75.931,4.267,4342,3112,7454
Siachoque,Boyacá,-73.245,5.512,25,8,33
Sibaté,Cundinamarca,-74.259,4.49,288,861,1149
Sibundoy,Putumayo,-76.917,1.2,1078,6166,7244
Silos,Norte de Santander,-72.757,7.205,177,18,195
Silvania,Cundinamarca,-74.406,4.382,3276,2046,5322
Silvia,Cauca,-76.38,2.612,2145,894,3039
Simacota,Santander,-73.337,6.443,4247,645,4892
Simijaca,Cundinamarca,-73.85,5.505,53,44,97
Simití,Bolívar,-73.947,7.954,17078,5513,22591
Sincelejo,Sucre,-75.395,9.302,14314,159681,173995
Sipí,Chocó,-76.644,4.651,2900,509,3409
Sitionuevo,Magdalena,-74.72,10.775,20687,4903,25590
Soacha,Cundinamarca,-74.215,4.585,3301,54470,57771
Soatá,Boyacá,-72.684,6.332,148,60,208
Socha,Boyacá,-72.692,5.997,245,151,396
Socorro,Santander,-73.261,6.464,353,1016,1369
Socotá,Boyacá,-72.637,6.041,707,93,800
Sogamoso,Boyacá,-72.923,5.726,471,3789,4260
Solano,Caquetá,-75.254,0.699,13105,1508,14613
Soledad,Atlántico,-74.785,10.91,2953,62593,65546
Solita,Caquetá,-75.62,0.877,12372,3088,15460
Somondoco,Boyacá,-73.433,4.986,78,52,130
Sonsón,Antioquia,-75.309,5.715,21054,12990,34044
Sopó,Cundinamarca,-73.946,4.906,56,78,134
Sopetrán,Antioquia,-75.747,6.501,1224,962,2186
Soplaviento,Bolívar,-75.136,10.388,278,183,461
Sora,Boyacá,-73.45,5.567,3,0,3
Soracá,Boyacá,-73.333,5.501,12,8,20
Sotaquirá,Boyacá,-73.247,5.765,19,21,40
Sotara,Cauca,-76.613,2.253,2202,287,2489
Suárez,Cauca,-76.693,2.96,9318,5106,14424
Suárez,Tolima,-74.832,4.049,9318,5106,14424
Suaita,Santander,-73.438,6.104,499,268,767
Suan,Atlántico,-74.882,10.335,119,506,625
Suaza,Huila,-75.795,1.976,2131,4588,6719
Subachoque,Cundinamarca,-74.173,4.929,46,83,129
Sucre,Cauca,-76.926,2.038,23252,6784,30036
Sucre,Santander,-73.791,5.919,23252,6784,30036
Sucre,Sucre,-74.723,8.812,23252,6784,30036
Suesca,Cundinamarca,-73.798,5.104,11,46,57
Supía,Caldas,-75.65,5.447,1539,2014,3553
Supatá,Cundinamarca,-74.235,5.062,102,31,133
Suratá,Santander,-72.984,7.367,2018,475,2493
Susa,Cundinamarca,-73.814,5.455,18,1,19
Susacón,Boyacá,-72.69,6.23,142,2,144
Sutamarchán,Boyacá,-73.621,5.62,12,8,20
Sutatenza,Boyacá,-73.452,5.023,17,11,28
